               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              1.8303,              3.3089,              2.0394,             0.52222,             0.44559,             0.40035,             0.27129,                   0,                   0,                   0,            0.070015,           0.0033316,           0.0033316
                   1,              1.7163,              2.3243,              1.9306,              0.5071,             0.47026,             0.45121,             0.28865,                   0,                   0,                   0,            0.039884,            0.006533,            0.006533
                   2,              1.8185,              2.3559,              1.9962,             0.56725,             0.32792,             0.36419,             0.23042,                   0,                   0,                   0,           0.0096196,           0.0096023,           0.0096023
                   3,              1.8966,              2.4678,               2.076,             0.56332,             0.38224,             0.40747,             0.25503,                   0,                   0,                   0,            0.009406,            0.009406,            0.009406
                   4,              1.8391,              2.3105,               2.046,             0.51835,             0.49287,             0.45007,             0.29316,                   0,                   0,                   0,            0.009406,            0.009406,            0.009406
                   5,              1.7925,               2.221,              2.0141,             0.55093,             0.53074,             0.51395,             0.33567,                   0,                   0,                   0,            0.009208,            0.009208,            0.009208
                   6,              1.7319,              2.0549,              1.9556,             0.48797,             0.53631,             0.51226,             0.33059,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                   7,               1.712,              1.9725,               1.928,             0.59252,             0.58382,             0.55201,             0.37126,                   0,                   0,                   0,            0.008812,            0.008812,            0.008812
                   8,              1.6751,              1.8831,              1.9138,             0.70223,             0.55251,             0.58153,             0.38375,                   0,                   0,                   0,            0.008614,            0.008614,            0.008614
                   9,              1.6372,               1.805,               1.881,             0.61733,             0.57872,             0.58668,              0.3961,                   0,                   0,                   0,            0.008416,            0.008416,            0.008416
                  10,              1.6153,              1.7552,              1.8741,             0.54076,             0.60595,              0.5821,             0.40008,                   0,                   0,                   0,            0.008218,            0.008218,            0.008218
                  11,               1.601,              1.7112,              1.8568,             0.62284,             0.62623,             0.62033,             0.42388,                   0,                   0,                   0,             0.00802,             0.00802,             0.00802
                  12,               1.562,              1.6325,              1.8316,             0.61273,             0.68645,             0.66263,             0.46664,                   0,                   0,                   0,            0.007822,            0.007822,            0.007822
                  13,              1.5584,              1.6386,              1.8228,             0.61029,             0.64718,             0.64047,             0.44797,                   0,                   0,                   0,            0.007624,            0.007624,            0.007624
                  14,               1.548,              1.5763,              1.8136,             0.62411,             0.66698,             0.66423,             0.46854,                   0,                   0,                   0,            0.007426,            0.007426,            0.007426
                  15,              1.5154,              1.5403,              1.7868,             0.60606,             0.66124,             0.65086,              0.4512,                   0,                   0,                   0,            0.007228,            0.007228,            0.007228
                  16,               1.504,              1.5246,              1.7793,             0.70973,             0.66393,             0.69226,             0.48347,                   0,                   0,                   0,             0.00703,             0.00703,             0.00703
                  17,              1.4781,              1.4521,              1.7508,             0.67631,             0.66256,             0.69141,             0.48553,                   0,                   0,                   0,            0.006832,            0.006832,            0.006832
                  18,              1.4676,              1.4357,              1.7491,             0.71119,             0.68839,             0.70135,             0.50108,                   0,                   0,                   0,            0.006634,            0.006634,            0.006634
                  19,              1.4528,               1.399,              1.7368,             0.74336,             0.68388,             0.73192,             0.52018,                   0,                   0,                   0,            0.006436,            0.006436,            0.006436
                  20,               1.435,              1.3736,              1.7318,             0.65616,             0.70019,             0.71283,             0.50971,                   0,                   0,                   0,            0.006238,            0.006238,            0.006238
                  21,              1.4225,              1.3698,              1.7242,             0.74324,             0.66339,               0.721,             0.50387,                   0,                   0,                   0,             0.00604,             0.00604,             0.00604
                  22,              1.4204,              1.3411,              1.7139,             0.71337,             0.69011,              0.7046,              0.4967,                   0,                   0,                   0,            0.005842,            0.005842,            0.005842
                  23,              1.3965,               1.314,              1.6973,             0.75755,             0.72603,             0.75294,             0.54311,                   0,                   0,                   0,            0.005644,            0.005644,            0.005644
                  24,              1.3829,              1.2787,              1.6952,              0.8156,              0.6849,             0.75807,             0.54812,                   0,                   0,                   0,            0.005446,            0.005446,            0.005446
                  25,                1.39,              1.2893,              1.6964,             0.73988,              0.7004,             0.74646,             0.53707,                   0,                   0,                   0,            0.005248,            0.005248,            0.005248
                  26,              1.3711,              1.2411,               1.682,             0.76345,             0.70338,             0.74105,             0.54403,                   0,                   0,                   0,             0.00505,             0.00505,             0.00505
                  27,              1.3676,              1.2319,              1.6785,             0.73805,             0.73192,              0.7585,             0.55259,                   0,                   0,                   0,            0.004852,            0.004852,            0.004852
                  28,              1.3456,              1.2162,              1.6662,             0.77589,             0.72421,             0.76426,             0.55227,                   0,                   0,                   0,            0.004654,            0.004654,            0.004654
                  29,              1.3399,              1.1885,              1.6571,             0.83322,             0.71852,             0.77928,             0.57328,                   0,                   0,                   0,            0.004456,            0.004456,            0.004456
                  30,              1.3291,              1.1742,               1.649,             0.80561,             0.70714,             0.77445,             0.56318,                   0,                   0,                   0,            0.004258,            0.004258,            0.004258
                  31,              1.3264,              1.1714,              1.6496,             0.78151,             0.75849,             0.78989,             0.58388,                   0,                   0,                   0,             0.00406,             0.00406,             0.00406
                  32,              1.3087,               1.144,              1.6349,             0.82624,              0.7166,             0.77701,              0.5791,                   0,                   0,                   0,            0.003862,            0.003862,            0.003862
                  33,              1.2906,              1.1185,              1.6274,             0.77694,             0.76613,             0.79116,             0.58503,                   0,                   0,                   0,            0.003664,            0.003664,            0.003664
                  34,              1.2921,              1.1048,              1.6208,             0.83487,             0.72035,             0.78865,             0.59486,                   0,                   0,                   0,            0.003466,            0.003466,            0.003466
                  35,              1.2863,              1.1074,              1.6275,             0.81075,             0.71944,             0.78985,             0.58719,                   0,                   0,                   0,            0.003268,            0.003268,            0.003268
                  36,              1.2787,              1.0755,              1.6118,             0.80682,             0.75586,             0.79935,             0.59585,                   0,                   0,                   0,             0.00307,             0.00307,             0.00307
                  37,              1.2783,              1.0804,              1.6116,             0.81645,             0.77833,             0.80993,             0.60055,                   0,                   0,                   0,            0.002872,            0.002872,            0.002872
                  38,               1.259,              1.0505,              1.5959,             0.81548,             0.77412,             0.80951,              0.6014,                   0,                   0,                   0,            0.002674,            0.002674,            0.002674
                  39,              1.2332,              1.0255,              1.5933,             0.83999,             0.75599,              0.8034,             0.60098,                   0,                   0,                   0,            0.002476,            0.002476,            0.002476
                  40,               1.243,              1.0166,              1.5913,             0.83342,             0.78834,             0.82233,             0.61981,                   0,                   0,                   0,            0.002278,            0.002278,            0.002278
                  41,              1.2266,              1.0057,              1.5838,             0.81654,             0.75388,             0.80228,             0.61251,                   0,                   0,                   0,             0.00208,             0.00208,             0.00208
                  42,               1.224,             0.98614,              1.5785,             0.83651,             0.75937,             0.81059,              0.6179,                   0,                   0,                   0,            0.001882,            0.001882,            0.001882
                  43,              1.2141,             0.98224,              1.5711,             0.83307,             0.75282,             0.81234,             0.61445,                   0,                   0,                   0,            0.001684,            0.001684,            0.001684
                  44,              1.2061,             0.96452,              1.5591,             0.79713,             0.78319,             0.81507,             0.61398,                   0,                   0,                   0,            0.001486,            0.001486,            0.001486
                  45,              1.1907,             0.94851,              1.5578,             0.85622,             0.76777,             0.82301,             0.62752,                   0,                   0,                   0,            0.001288,            0.001288,            0.001288
                  46,              1.1841,             0.93462,              1.5482,             0.84012,             0.76398,             0.81457,             0.62086,                   0,                   0,                   0,             0.00109,             0.00109,             0.00109
                  47,              1.1874,             0.92981,                1.55,             0.80281,             0.78913,             0.81708,             0.62339,                   0,                   0,                   0,            0.000892,            0.000892,            0.000892
                  48,              1.1713,             0.91506,              1.5489,             0.84125,             0.77869,             0.82344,             0.62739,                   0,                   0,                   0,            0.000694,            0.000694,            0.000694
                  49,              1.1648,             0.90078,              1.5355,             0.83405,             0.78359,             0.82197,             0.62936,                   0,                   0,                   0,            0.000496,            0.000496,            0.000496
